,SiteCode,IGBP_vegetation_short,Previous IGBP,CABLE_PFT,CABLE_patchfrac,Source_CABLE_PFT,Change,Matches modeval?,Comment,VegDEc,Ref
396,IT-Mal,GRA,MF,6,1,"Anna (see ref, temperate so setting all C3)",x,yes,,"Tesino Upland is located in the eastern part of Valsugana, in the southern part of external Dolomites; its Northern border is marked by the Lagorai mountains (2,700 m). The study site is located on a farm (Malga Arpaco) at 1,730 m.a.s.l. (46.11402° N; 11.70334° E), near Passo Brocon, it is a seasonality pasture (alpeg-gio) with pasture times from the beginnings of June to the end of August (around 100 days). The climate in the southern part of Dolomites is influenced by the Adriatic sea, while in the northen part it is more continental; the annual rainfall is about 1,100–1,550 mm concentrated in spring (May–June) and in autumn (October–November); the average temperature is lower than 0 °C from December to March.The examined pasture is in the inferior alpine horizon. This vegetation layer is the upper limit of the microtherrmal Fagus forest and it may be constituted by Picea in the lower part and by Larix in the higher part. In this area, human activity changed the original vegetation to pastures and grasslands by cutting the forests, while in other sites the alpine pastures are typically above the upper tree vegeta-tion line. The soil is an alfisol, sandy-loam and a Typic Hapludalfs (FAO 2008).The Malga Arpaco pasture results to be sufficiently used, without bushes, pas-turing paths, erosion; yet, the negative effects of understocking begin to appear, as evidenced by the existence of some limited overpastured areas surrounded by Deschampsia spp. and Cirsium spp.From the floristic survey the grassland resulted to be composed predominantly by good fodder Poaceae (genera Festuca, Po a, Phleum), reduced by pasturing in summer; yet, the area shows, at least in some parts, the specific composition of a mid-damp and degraded grassland, with nitrophilous species, and the signs of a strong use, in transition from a grassland to an unrationally grazed pasture.","Papale, D., Migliavacca, M., Cremonese, E., Cescatti, A., Alberti, G., Balzarolo, M., ... Valentini, R. (2015). Carbon, water and energy fluxes of terrestrial ecosystems in Italy. In R. Valentini, & F. Miglietta (Eds.), The Greenhouse Gas Balance of Italy (pp. 11-45). Springer-Verlag Berlin Heidelberg. https://doi.org/10.1007/978-3-642-32424-6"
397,IT-MBo,GRA,,6,1,Juergen,,yes,,,
402,IT-Noe,CSH,,5,1,Anna (see ref),x,yes,,"The main species are juniper (Juniperus phoenicea L.), lentisk (Pistacia lentiscus L.), tree phyllirea (Phyllirea angustifolia L.), and dwarf fan palm (Chamaerops humilis L.). These species form a sparsely vegetated shrub land, where juniper and lentisk, which respectively cover 53 and 22 % of the vegetated surface, are aggregated into variably-sized patches with bare ground in between. Phillyrea and palm can only be found as isolated elements inside the main patches. Other species typical of Mediterranean maquis are present on the experimental site: rosemary (Rosmarinus officinalis L.), Genista corsica (Loisel) DC., Daphne gnidium L., Smilax aspera L., Euphorbia characias L., Helichrysum microphyllum DC., Asphodelus microcarpus Salzm., and Ferula communis L. The vegetation is a secondary succession following a fire event occurred in 1963 and agricultural abandonment in 1970. Currently, this area has limited human activity. The average maquis height ranges between 0.93 and 1.43 m, and the ground cover varies between 42 and 91 %. Total LAI values range from 2.7 to 3.0.","Papale, D., Migliavacca, M., Cremonese, E., Cescatti, A., Alberti, G., Balzarolo, M., ... Valentini, R. (2015). Carbon, water and energy fluxes of terrestrial ecosystems in Italy. In R. Valentini, & F. Miglietta (Eds.), The Greenhouse Gas Balance of Italy (pp. 11-45). Springer-Verlag Berlin Heidelberg. https://doi.org/10.1007/978-3-642-32424-6"
403,IT-Non,DBF,MF,4,1,Anna (see ref),x,no (mixed forest),,"The forest is still growing and has not yet reached the final stage, its dominant species consisting of: Oak (Quercus robur L.) 35 %, Ash (Fraxinus spp.) 25 %, Maple (Acer campestre L.) 12 %, Willow (Salix alba L.) 8 %, Poplar (Populus alba L.) 6 %, Cerry (Prunus mahaleb L.), other 8 %. The total area is 38.6 ha with a tree density of 1,100 trees ha_1 at the plantation stage, and reduced to 826 trees ha_1 10 years after","Papale, D., Migliavacca, M., Cremonese, E., Cescatti, A., Alberti, G., Balzarolo, M., ... Valentini, R. (2015). Carbon, water and energy fluxes of terrestrial ecosystems in Italy. In R. Valentini, & F. Miglietta (Eds.), The Greenhouse Gas Balance of Italy (pp. 11-45). Springer-Verlag Berlin Heidelberg. https://doi.org/10.1007/978-3-642-32424-6"
408,IT-PT1,DBF,,4,1,IGBP,,yes,,,
409,IT-Ren,ENF,,1,1,IGBP,,yes,,,
410,IT-Ro1,DBF,,4,1,IGBP,,yes,,,
411,IT-Ro2,DBF,,4,1,IGBP,,yes,,,
417,IT-SR2,ENF,,1,1,IGBP,,yes,,,
418,IT-SRo,ENF,,1,1,IGBP,,yes,,,
458,JP-SMF,MF,,"2,4","0.5,0.5","Anna (both deciduous and evergreen, see ref. No fractions provided, setting 50:50)",x,yes,,"Overstory species:  Ilex pedunculosa, Symplocos prunifolia, Quercus  serrata, Evodiopanax innovans",http://asiaflux.net/index.php?page_id=104
519,NL-Ca1,GRA,,6,1,Juergen,,yes,,,
522,NL-Hor,GRA,,6,1,Juergen,,yes,,,
525,NL-Loo,ENF,,1,1,IGBP,,yes,,,
550,PL-wet,WET,MF,11,1,Anna (see ref),,yes,,"The wetland is a georgenous mire, where the most common are moss (Sphagnum spp.), moss (Dicranum spp.), sedge (Carex spp.), reed (Phragmites australis), cattail (Typha latifolia), cranberry (Vaccinium oxycoccus), round-leaved sundew (Drosera ro- tundifolia), purple marshlocks (Potentilla palustris), mea- dow buttercup (Ranunculus acris) and bog-bean (Menyan- thes trifoliata).","Chojnicki BH, Urbaniak M, Józefczyk D, Augustin J (2007) Measurement of gas and heat fluxes at Rzecin wetland. In: Okruszko et al. (eds) Wetlands: Monitoring, Modelling and Management. Taylor & Francis Group, London, pp. 125–131...........Kowalska, Natalia & Chojnicki, Bogdan & Rinne, Janne & Haapanala, Sami & Siedlecki, Pawe_ & Urbaniak, Marek & Juszczak, Radoslaw & Olejnik, Janusz. (2013). Measurements of methane emission from a temperate wetland by eddy covariance method. International Agrophysics. 27. 283-290. 10.2478/v10247-012-0096-5."
553,PT-Esp,EBF,ENF,2,1,IGBP,x,yes,wrong weblink on modeleval,,
554,PT-Mi1,EBF,,2,1,IGBP,x,yes,,,
555,PT-Mi2,GRA,,6,1,Juergen,,yes,,,
558,RU-Che,WET,,11,1,IGBP,,yes,,,
561,RU-Fyo,ENF,,1,1,IGBP,,yes,,,
580,RU-Zot,ENF,,1,1,Anna (see ref),x,yes,,Pine forest (Pinus sylvestris dominated),"Winderlich, J., Gerbig, C., Kolle, O., Heimann, M. (2014). Inferences from CO2 and CH4 concentration profiles at the Zotino Tall Tower Observatory (ZOTTO) on regional summertime ecosystem fluxes. Biogeosciences, 11(7), 2055-2068. doi:10.5194/bg-11-2055-2014."
581,SD-Dem,SAV,,"7,14","0.49,0.51","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,100% C4 (ignoring dataset),,
585,SE-Deg,WET,,11,1,IGBP,,yes,,,
622,UK-Gri,ENF,,1,1,IGBP,,yes,,,
623,UK-Ham,DBF,,4,1,IGBP,,yes,,,
630,UK-PL3,MF,,"1,4","0.1,0.9","Anna (see ref, no fractions provided so setting a small ENF fraction)",x,yes,,"The woodland covers about 350 ha and is made up of a mosaic of different plantations which include both broadleaved and coniferous stands. The research site is part of the hydrological monitoring network of the LOCAR research programme (Wheater et al., 2006). Here the forest canopy consists of an overstorey dominated by oak (Quercus robur L.) and birch (Betula pubescens L.) trees of various ages and sizes and a continuous understorey dominated by hazel (Corylus avellana L.) but with a few evergreen holly (Ilex aquifolium) trees. In 2006 the average canopy height was 22 m and the maximum leaf area index 3.9 whilst the understorey had reached an average height of 8 m. The total basal area of all trees, per unit ground area, was 43.5 m2 ha_1 of which 38.3 m2 ha_1 belonged to trees forming the overstorey canopy. ","MathiasHerbst, Paul T.W.Rosier, David D.McNeil, Richard J.Harding, David J.Gowing. Seasonal variability of interception evaporation from the canopy of a mixed deciduous forest. Agricultural and Forest Meteorology, Volume 148, Issue 11, October 2008, Pages 1655-1667, https://doi.org/10.1016/j.agrformet.2008.05.011."
640,US-AR1,GRA,,"6,7","0.72,0.28","Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,,,
641,US-AR2,GRA,,"6,7","0.72,0.28","Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,,,
644,US-ARM,CRO,,9,1,Juergen,,yes,,,
646,US-Aud,GRA,,"6,7","0.6,0.4",Juergen,,yes,,,
647,US-Bar,MF,,"1,4","0.5,0.5","Anna (see ref, can't work out fraction so 50:50)",x,no (DBF),,"There are areas of old-growth northern hardwoods with American beech, yellow birch, sugar maple, and eastern hemlock the dominant species. Even-aged stands of red maple, paper birch, and aspen occupy sites that once were cleared. Red spruce stands cover the highest slopes, and eastern white pine is confined to the lowest elevations.",https://www.nrs.fs.fed.us/ef/locations/nh/bartlett/
650,US-Bkg,GRA,CRO,"6,7","0.6,0.4",Juergen (pasture),,yes,,"The Brookings site is located in a private pasture, consisting of a mixture of C3 and C4 species actively used for grazing.",https://modelevaluation.org/dataSet/display/ueEzkhogQuTDooJ2B
652,US-Blo,ENF,,1,1,IGBP,,yes,,,
656,US-Bo1,CRO,,10,1,Juergen,,yes,,,
669,US-Cop,GRA,,6,1,"Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,,,
686,US-FPe,GRA,,"6,7","0.9,0.1",Juergen,,yes,,,
693,US-GLE,ENF,,1,1,IGBP,,yes,,,
695,US-Goo,GRA,,"6,7","0.6,0.4",Juergen,,yes,,,
696,US-Ha1,DBF,,4,1,IGBP,,no (MF),,,
698,US-Ho1,ENF,,1,1,IGBP,,yes,,,
723,US-KS2,CSH,,5,1,Anna (see ref),x,yes,,"Situated in a 10 ha scrub oak ecosystem, the surrounding stand was completely burned by a prescribed fire in 1996. ",https://modelevaluation.org/dataSet/display/Sqi3qdtJ3cBQK28Hf
729,US-Los,WET,,11,1,IGBP,,yes,,,
735,US-Me2,ENF,,1,1,IGBP,,yes,,,
737,US-Me4,ENF,,1,1,IGBP,,yes,,,
739,US-Me6,ENF,,1,1,IGBP,,yes,,,
740,US-MMS,DBF,,4,1,IGBP,,yes,,,
741,US-MOz,DBF,,4,1,IGBP,,yes,,,
745,US-Myb,WET,,11,1,IGBP,,yes,,,
750,US-Ne1,CRO,,10,1,Juergen,,yes,,,
751,US-Ne2,CRO,,10,1,Juergen,,yes,,Mead - irrigated maize-soybean rotation site,https://modelevaluation.org/dataSet/display/ozhoREfBLtFkfcDND
752,US-Ne3,CRO,,10,1,Juergen,,yes,,Mead - rainfed maize-soybean rotation site,https://modelevaluation.org/dataSet/display/JDLxkKt2v42FJTfCi
756,US-NR1,ENF,,1,1,IGBP,,yes,,,
762,US-PFa,MF,,"1,4,11","0.41,0.41,0.18","Anna (see ref, 18% wetlands, the rest is mixed and setting it to 50:50)",x,yes,," The surrounding landscape (Fig. 1) is a representative mix of forested and open wetlands (28% in entire region (_50 km radius), 18% within 5 km radius of tower) with the remainder primarily composed of mixed deciduous and evergreen forests with most stands ranging from 30 to 70 years old. Most of the landscape is within the Chequamegon-Nicolet National Forest and forests that are actively managed for multiple purposes, including recreation, wildlife habitat, and timber production. Wetlands in the region include both open fens and forested bogs and a smaller proportion of open-water bodies. Upland stands are generally characterized by mixed northern hardwood species (Acer saccharum, Tilia americana, Fraxinus pennsylvanica, Betula papyrifera); early- to mid-successional aspen-fir (Populus tremuloides, Populus grandidentata, Abies balsamea); and pine-spruce (Pinus resinosa, Pinus banksiana, Picea glauca). Lowlands are generally characterized by wetland shrub and sedge species in fens and along stream banks (Alnus rugosa, Salix spp., Carex spp.); deciduous hardwood species in retired and seasonal drainageways (Fraxinus nigra, Ulmus rubra, Acer rubrum); ericaceous shrubs and moss in open bogs (Chamaedaphne calyculata, Ledum groenlandicum, Sphagnum spp.); and wetland conifers in drier peatlands and bog edges (Thuja occidentalis, Larix larcina, Picea mariana, A. balsamea).","Desai, A.R., Xu, K., Tian, H., Weishampel, P., Thom, J., Baumann, D., Andrews, A.E., Cook, B.D., King, J.Y., Kolka, R. (2015) , Landscape-level terrestrial methane flux observed from a very tall tower Agricultural and Forest Meteorology, 201, 61-75"
764,US-Prr,ENF,,1,1,IGBP,,yes,,,"Davis, K.J., Bakwin, P.S., Yi, C., Berger, B.W., Zhao, C., Teclaw, R., and Isebrands, J.G., 2003. The annual cycles of CO2 and H2O exchange over a northern mixed forest as observed from a very tall tower, Global Change Biology, 9, 1278-1293."
798,US-SP1,ENF,,1,1,IGBP,,yes,,,
799,US-SP2,ENF,MF,1,1,Anna (see ref),x,yes,,Even aged slash pine (Pinus elliottii) plantation. Planted in Jan. 1999.,https://ameriflux.lbl.gov/sites/siteinfo/US-SP2#overview
800,US-SP3,EBF,,2,1,IGBP,,yes,,,
803,US-SRG,GRA,,7,1,Anna (see ref),x,yes,,"Semidesert C4 grassland, lies in Pasture 1 on the Santa Rita Experimental Range. This is the companion site for US-SRM, but has much less mesquite encroachment.",https://modelevaluation.org/dataSet/display/L95MimCnsQgjZa6rS
804,US-SRM,WSA,,"5,7","0.5,0.5","Anna (see ref, estimated from pictures)",x,yes,,Semidesert grassland encroached by mesquite (Prosopis velutina) trees.,https://modelevaluation.org/dataSet/display/3gX58rbhy5Qf2QKtd
810,US-Syv,MF,,"1,4","0.5,0.5",Anna (see ref),x,yes,,"The immediate 1 ha around the tower has relatively flat topography (<3% slope), except for a steeper decline (_12%) from the tower to the northeast. A closed canopy of sugar maple is dominant (71% of overstory stems) in the 1 ha surrounding the tower, which also contains hemlock (14%), yellow birch (7%), basswood, and ironwood (8%) in the overstory. However, hemlock is dominant in the 1 km2 surrounding the tower. All upland forest in the entire 1 km2 is old-growth forest except for about 600 m2 to the northeast. Thus, the fluxes measured by the tower are considered representative of old-growth forest given typical flux footprints and wind patterns. There was no evidence of recent disturbance in the area.","Deser et al. (2005), https://doi.org/10.1016/j.agrformet.2004.09.005"
811,US-Ton,WSA,,"4,6","0.4,0.6","Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,,"Located in the lower foothills of the Sierra Nevada Mountains, the Tonzi Ranch site is classified as an oak savanna woodland on privately owned land. Managed by local rancher, Russell Tonzi, brush has been periodically removed for cattle grazing. The overstory is dominated by blue oak trees (40% of total vegetation) with intermittent grey pine trees (3 trees/ha). Understory species include a variety of grasses and herbs, including purple false brome, smooth cat's ear, and rose clover. These two distinctive layers operate in and out from one another. Growing season of the understory is confined to the wet season only, typically from October to early May. In contrast, the deciduous blue oak trees are dormant during the rainy winter months and reach maximum LAI in April. The blue oak ecosystem rings the Great Central Valley of California, inhabiting the lower reaches of the Sierra Nevada foothills.",https://modelevaluation.org/dataSet/display/8iAqxJXjkxFLj7bY4
815,US-Tw4,WET,,11,1,IGBP,,yes,,,
816,US-Twt,CRO,,9,1,Juergen,,yes,,,
819,US-UMB,DBF,,4,1,IGBP,,yes,,,
822,US-Var,GRA,,6,1,Juergen,,yes,,,
827,US-WCr,DBF,,4,1,IGBP,,yes,,,
830,US-Whs,OSH,,"2,6,7,14","0.02,0.19,0.24,0.55","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,55% C4,,
842,US-Wkg,GRA,,7,1,Juergen,,yes,,,
852,ZA-Kru,SAV,,"2,10","0.3,0.7","Anna (see ref, mainly C4 grass)",x,yes,,"The landscape is gently undulating, consisting of broad-leaved Combretum apiculatum-dominated savanna on the coarse sand crests and fine-leaved Acacia nigrescens savanna on sandy clay loam in the valleys (Scholes et al., 2001). The woody vegetation reaches 8–10 m in height and theflux sensors are at 17 m, giving the tower a footprint of about500 m. The vertically projected tree canopy cover in thisarea is about 30% and woody basal area is 7 m2 ha_1. Thegrass layer is dominated by Panicum maximum, Digitariaeriantha, Eragrostis rigidor, and Pogonarthria squarrosa.","Archibald, S. A., Kirton, A., Merwe, M. R. van der, Scholes, R. J., Williams, C. A. and Hanan, N.: Drivers of inter-annual variability in Net Ecosystem Exchange in a semi-arid savanna ecosystem, South Africa, Biogeosciences, 6(2), 251–266, 2009."
856,ZM-Mon,DBF,,4,1,IGBP,,no (missing vegetation type),,,